Id,Latitud,Longitud,Bicis,Orden,Tiempo_a_Almacen,Tiempo_a_Est1,Tiempo_a_Est2,Tiempo_a_Est3,Tiempo_a_Est4,Tiempo_a_Est5,Tiempo_a_Est6,Tiempo_a_Est7,Tiempo_a_Est8,Tiempo_a_Est9,Tiempo_a_Est10,Tiempo_a_Est11,Tiempo_a_Est12,Tiempo_a_Est13,Tiempo_a_Est14,Tiempo_a_Est15,Tiempo_a_Est16,Tiempo_a_Est17,Tiempo_a_Est18,Tiempo_a_Est19,Tiempo_a_Est20,Tiempo_a_Est21,Tiempo_a_Est22,Tiempo_a_Est23,Tiempo_a_Est24,Tiempo_a_Est25,Tiempo_a_Est26,Tiempo_a_Est27,Tiempo_a_Est28,Tiempo_a_Est29,Tiempo_a_Est30
Almacen,41.442013,2.189101,40,40,0,34.2,26.5,44.5,29.3,40.3,23.9,5.9,34.5,4.4,47.9,44.2,46.3,16.6,41.9,23.4,32.5,35.8,34.2,31.2,36.3,25.2,44.7,29.2,38.2,29.1,30,32.7,23,48.2,44.2
Est1,41.407384,2.1383,20,15,35.5,0,14.1,18.6,25.1,27.9,37,37.5,19.5,32.1,19.6,10,12.8,39.7,6.3,25.2,35.8,29.2,24.3,23.1,21.6,45,11,9.4,28.2,25.6,32.1,35.3,21.8,20.8,12.6
Est2,41.405587,2.162317,0,8,25.4,13.8,0,18.7,13.8,20,23.6,29,13,23.6,23.3,22.4,23.9,25.3,19.9,12.5,23.9,18.7,14,12.7,13.3,32.9,22.5,6.3,18,14.7,19.6,23.2,8.1,22.4,19.7
Est3,41.378124,2.145389,9,7,43.3,17.3,19.2,0,20.9,15.8,35.4,44.8,11.7,41,4.4,18.4,16.9,40.5,16.8,26.2,29.3,21.2,16.5,17.5,13.4,46.2,15.1,17.3,18.6,21.5,28.7,30.4,23.4,5.7,6.4
Est4,41.390943,2.180251,21,13,29.1,26.7,12.9,21.8,0,11.4,15.1,29.5,9.9,26.5,25,33.2,33.3,22.3,30.8,8.1,9.4,7.5,5.4,6.2,9.7,24.5,32.7,18.3,9.5,0.3,7.8,10.5,10.4,23.2,25.4
Est5,41.373509,2.171002,25,14,40.1,27,19,15.9,12.3,0,26.1,39.6,8.6,36.6,17.6,30.9,30.5,32.7,30.4,18.1,15.2,7.7,7.6,9.1,7.3,34.3,30.1,21.5,3.4,11.9,16.4,16.5,19.8,15.2,21
Est6,41.4026,2.2037,4,6,24,36.9,24.4,35.2,15.9,24.5,0,22.3,24.8,22.3,39.8,45.8,47.9,9.2,42,12.3,11.7,19.1,19.6,20.2,24.1,10.2,44.9,30.5,21.3,16.1,11.6,10.5,16.8,37.5,39
Est7,41.439949,2.197033,26,10,5.2,39.2,27.3,46.1,30.4,40.6,21.3,0,37.6,7.1,48.8,47.1,49.2,13.3,45.1,24.5,30.8,34.8,34.3,32.5,36.4,20.6,47.6,31.8,37.8,30.1,29.5,31.1,23,48.8,46.2
Est8,41.38547,2.16333,11,15,36.5,19.5,13.2,11,11.4,8.4,26.2,37.6,0,31.9,14.5,25.4,25.1,30.4,23.3,14.2,18.8,10.8,6.9,6.6,3.1,34.3,22.7,15.1,10,12,16.8,18.1,14.5,14.5,15.4
Est9,41.436708,2.186059,5,13,5.1,32.3,22.2,41.4,26.6,37.4,21.7,6.4,32.5,0,44.5,40.4,44.8,15.3,37.3,21,30.8,33.1,30.5,28,31.8,23.3,41.9,27.1,35.1,26.5,27.1,29.5,20.2,44.2,40.6
Est10,41.372338,2.141875,21,12,46.8,21.2,23.5,5.4,25.2,16.6,40.1,50,14.7,44.1,0,20.4,18.9,44.3,19.1,28.1,31.3,23.1,20.9,20.8,16.6,49.1,16.9,20.7,19.8,25.2,30.1,32.2,26.8,1.9,8.2
Est11,41.400722,2.123268,4,12,44.1,9.3,23.9,18.6,32.4,31.3,45.3,48.2,24.7,40.3,20.2,0,3.3,48.8,3.2,34.4,41.7,35.6,29.9,29.6,26.7,53.5,3.3,16.7,33.1,32.5,39.3,41.9,28.5,20.6,11.7
Est12,41.395274,2.120973,2,15,47.6,11.8,23.8,18.1,34,32,47.3,49.8,25.6,44.4,18,4.4,0,50.9,6.2,35.1,43.8,36,31.3,30.1,28.1,56.8,3.4,19.9,33.8,33.8,41.1,43.4,30.9,20.2,10.7
Est13,41.418035,2.206023,25,14,17,38.5,26.4,41.1,22.5,32.7,8.8,13.4,31.3,17.2,44.3,48.8,50.9,0,44.7,16.9,21.1,24.8,26.9,25.2,30.6,9.4,48.3,31.3,29.7,22,18.4,18.6,19.4,44,43.4
Est14,41.402879,2.128541,11,15,41,6.2,19.5,17.4,31.5,29.8,43.6,44,22.7,38.1,19.6,4.5,6.1,45,0,30,40.4,34.2,28.6,27.5,25.9,51.4,5,13.5,30.3,31.2,37.2,39,25.6,21.2,12.5
Est15,41.402046,2.182286,9,15,24.4,24.8,11.6,24.9,7,18.8,12.5,24,14.9,20.8,28.9,33.3,35.1,17,31.4,0,12.3,13.7,11.4,9.7,13.7,22.7,32.8,18.1,15.6,7,9.8,12.4,5.4,28.6,27.2
Est16,41.384538,2.195679,19,8,33.7,35.9,22.9,29.9,9.6,16.5,12.4,31.9,19.7,29.7,31.3,43.2,42.6,20.8,39.7,12.7,0,8.7,12.6,13.1,17.8,21.2,40.1,28.8,12.5,11.1,3.1,1.6,18.4,31.2,33.4
Est17,41.380565,2.182119,2,13,36,30,19.5,20.9,7.6,8.7,17.6,35.8,11.2,32.7,23.7,36.1,36,24.9,32.4,12,8.3,0,5.2,8.7,9.4,27.1,33.5,22.5,5.5,7.9,7.7,9.2,15.5,21.9,26
Est18,41.385463,2.174252,0,10,32.8,23.4,13.9,17.7,6.2,8.8,20.6,33,7.7,29.9,20.8,30.2,30.2,25.5,28.4,11.5,12.8,5.9,0,3.5,4.7,28.9,29.3,17.9,5.6,6.6,11.9,13.7,12.5,20.5,21.1
Est19,41.389012,2.172667,1,12,32.7,22,12.6,17.8,5.1,10.4,19.8,31.7,6.9,29.1,21,29.7,29.1,25.7,27.3,10.1,13.6,7.2,2.2,0,5.8,29.7,27.1,16.6,6.9,5.9,13.1,13.2,10.7,20.7,20.7
